        Step,        Time,           U,           T,           H
      438000,4379.99990210,-36.66509931, 14.05632810,-22.60877121
      439000,4389.99990188,-35.25399031, 12.64750654,-22.60648377
      440000,4399.99990165,-34.62726720, 12.01215003,-22.61511717
      441000,4409.99990143,-36.32285050, 13.69581550,-22.62703499
      442000,4419.99990121,-37.36761747, 14.73629349,-22.63132398
      443000,4429.99990098,-34.37945762, 11.77094240,-22.60851522
      444000,4439.99990076,-37.34460891, 14.71930738,-22.62530153
      445000,4449.99990053,-38.20113456, 15.59020520,-22.61092936
      446000,4459.99990031,-35.90170902, 13.29304550,-22.60866352
      447000,4469.99990009,-33.37524904, 10.74777022,-22.62747882
      448000,4479.99989986,-37.38462670, 14.77043566,-22.61419104
      449000,4489.99989964,-36.06156281, 13.43689183,-22.62467098
      450000,4499.99989942,-37.15673637, 14.53023283,-22.62650354
      451000,4509.99989919,-36.16553071, 13.54997836,-22.61555235
      452000,4519.99989897,-34.42956114, 11.81816009,-22.61140105
      453000,4529.99989875,-33.92352131, 11.29936297,-22.62415834
      454000,4539.99989852,-35.22480419, 12.62018576,-22.60461842
      455000,4549.99989830,-36.18314480, 13.57869444,-22.60445036
      456000,4559.99989808,-37.99598337, 15.38867111,-22.60731226
      457000,4569.99989785,-36.64268128, 14.05524293,-22.58743835
      458000,4579.99989763,-34.91099734, 12.31107317,-22.59992417
      459000,4589.99989741,-36.09948162, 13.47671720,-22.62276442
      460000,4599.99989718,-34.43047341, 11.82626320,-22.60421021
      461000,4609.99989696,-35.42774620, 12.82649367,-22.60125253
      462000,4619.99989673,-36.31415359, 13.70897237,-22.60518122
      463000,4629.99989651,-39.00417658, 16.38438692,-22.61978967
      464000,4639.99989629,-36.65481909, 14.04320985,-22.61160924
      465000,4649.99989606,-35.88492920, 13.26581378,-22.61911541
      466000,4659.99989584,-34.44446335, 11.84771515,-22.59674820
      467000,4669.99989562,-35.75247835, 13.11094676,-22.64153159
      468000,4679.99989539,-35.10483676, 12.49570476,-22.60913200
      469000,4689.99989517,-36.27316107, 13.67855232,-22.59460875
      470000,4699.99989495,-30.85595064,  8.24417771,-22.61177293
      471000,4709.99989472,-37.01813227, 14.40598068,-22.61215159
      472000,4719.99989450,-36.18609543, 13.58322918,-22.60286625
      473000,4729.99989428,-32.56505408,  9.96387187,-22.60118221
      474000,4739.99989405,-36.64250019, 14.03143057,-22.61106962
      475000,4749.99989383,-33.06553881, 10.47384663,-22.59169218
      476000,4759.99989361,-37.32600849, 14.72328307,-22.60272542
      477000,4769.99989338,-38.80277620, 16.18255097,-22.62022523
      478000,4779.99989316,-36.90789410, 14.29098663,-22.61690747
      479000,4789.99989294,-39.30821934, 16.68884240,-22.61937694
      480000,4799.99989271,-35.73605914, 13.10727201,-22.62878713
      481000,4809.99989249,-38.78593965, 16.17076940,-22.61517024
      482000,4819.99989226,-37.60573039, 14.99056243,-22.61516795
      483000,4829.99989204,-35.35659666, 12.72958873,-22.62700792
      484000,4839.99989182,-36.84786417, 14.24877150,-22.59909267
      485000,4849.99989159,-39.31966715, 16.71428387,-22.60538328
      486000,4859.99989137,-36.79875822, 14.16444747,-22.63431075
      487000,4869.99989115,-36.09462729, 13.47480800,-22.61981929
      488000,4879.99989092,-35.30554106, 12.69225269,-22.61328837
      489000,4889.99989070,-33.96218653, 11.35029894,-22.61188758
      490000,4899.99989048,-37.99725594, 15.38105067,-22.61620526
      491000,4909.99989025,-38.21935385, 15.59113359,-22.62822026
      492000,4919.99989003,-33.64195903, 11.02512127,-22.61683775
      493000,4929.99988981,-34.46972712, 11.84975795,-22.61996917
      494000,4939.99988958,-35.48391263, 12.84424359,-22.63966904
      495000,4949.99988936,-36.29391702, 13.67673831,-22.61717872
      496000,4959.99988914,-36.66843333, 14.05254161,-22.61589172
      497000,4969.99988891,-35.31977508, 12.69424928,-22.62552580
      498000,4979.99988869,-37.16723439, 14.55930959,-22.60792480
      499000,4989.99988846,-33.94323907, 11.35063826,-22.59260081
      500000,4999.99988824,-34.73637659, 12.13570655,-22.60067004
      501000,5009.99988802,-35.08284212, 12.47127249,-22.61156964
      502000,5019.99988779,-34.47244799, 11.86401349,-22.60843451
      503000,5029.99988757,-36.62972643, 14.02474956,-22.60497687
      504000,5039.99988735,-38.34963098, 15.73378870,-22.61584228
      505000,5049.99988712,-37.67547503, 15.07980552,-22.59566951
      506000,5059.99988690,-37.72557828, 15.13015800,-22.59542029
      507000,5069.99988668,-39.37324293, 16.78116320,-22.59207973
      508000,5079.99988645,-35.82681568, 13.23816418,-22.58865150
      509000,5089.99988623,-36.27380426, 13.69157572,-22.58222854
      510000,5099.99988601,-36.20950470, 13.63526756,-22.57423714
      511000,5109.99988578,-36.51995810, 13.95053866,-22.56941943
      512000,5119.99988556,-37.38469763, 14.81619449,-22.56850314
      513000,5129.99988534,-33.35402710, 10.78661499,-22.56741211
      514000,5139.99988511,-34.95048556, 12.37040637,-22.58007919
      515000,5149.99988489,-37.86813126, 15.30337069,-22.56476057
      516000,5159.99988467,-36.84091489, 14.26770800,-22.57320689
      517000,5169.99988444,-34.86276819, 12.31778352,-22.54498467
      518000,5179.99988422,-34.63550070, 12.08071036,-22.55479034
      519000,5189.99988399,-36.06382431, 13.52456502,-22.53925929
      520000,5199.99988377,-39.69383316, 17.15712920,-22.53670397
      521000,5209.99988355,-35.73077222, 13.21673984,-22.51403238
      522000,5219.99988332,-38.73340414, 16.17927757,-22.55412657
      523000,5229.99988310,-38.42423057, 15.89628631,-22.52794426
      524000,5239.99988288,-35.14899649, 12.62229688,-22.52669961
      525000,5249.99988265,-33.45935372, 10.90038069,-22.55897303
      526000,5259.99988243,-33.07709317, 10.55512432,-22.52196886
      527000,5269.99988221,-40.34887983, 17.82695645,-22.52192337
      528000,5279.99988198,-34.63378989, 12.09805736,-22.53573253
      529000,5289.99988176,-34.99066287, 12.45931467,-22.53134820
      530000,5299.99988154,-38.35797031, 15.82156972,-22.53640058
      531000,5309.99988131,-36.18421062, 13.64906566,-22.53514496
      532000,5319.99988109,-32.76891937, 10.24869339,-22.52022599
      533000,5329.99988087,-37.65851102, 15.13046233,-22.52804869
      534000,5339.99988064,-36.16992617, 13.62467335,-22.54525282
      535000,5349.99988042,-38.29910584, 15.76993393,-22.52917192
      536000,5359.99988019,-35.87649354, 13.34199133,-22.53450221
      537000,5369.99987997,-34.16616403, 11.64269873,-22.52346529
      538000,5379.99987975,-32.56289134, 10.08352997,-22.47936137
      539000,5389.99987952,-37.08204618, 14.56275383,-22.51929235
      540000,5399.99987930,-35.86597597, 13.33996940,-22.52600657
      541000,5409.99987908,-35.73756389, 13.18262495,-22.55493894
      542000,5419.99987885,-36.01667796, 13.46970377,-22.54697419
      543000,5429.99987863,-37.11964796, 14.57626270,-22.54338526
      544000,5439.99987841,-35.52112715, 12.98527121,-22.53585594
      545000,5449.99987818,-38.01394652, 15.46883143,-22.54511509
      546000,5459.99987796,-34.08819109, 11.54585819,-22.54233290
      547000,5469.99987774,-33.50735819, 10.96904832,-22.53830987
      548000,5479.99987751,-39.12331850, 16.61945933,-22.50385917
      549000,5489.99987729,-35.75073641, 13.23500297,-22.51573343
      550000,5499.99987707,-32.92845137, 10.42869485,-22.49975652
      551000,5509.99987684,-36.90899881, 14.40863218,-22.50036663
      552000,5519.99987662,-40.79482648, 18.26001568,-22.53481080
      553000,5529.99987639,-36.10958047, 13.60039597,-22.50918450
      554000,5539.99987617,-34.76680236, 12.26877557,-22.49802678
      555000,5549.99987595,-35.65526637, 13.14400004,-22.51126633
      556000,5559.99987572,-35.65230426, 13.15832127,-22.49398299
      557000,5569.99987550,-37.49613208, 14.98434962,-22.51178247
      558000,5579.99987528,-32.07961397,  9.59737092,-22.48224305
      559000,5589.99987505,-37.37451695, 14.88529165,-22.48922530
      560000,5599.99987483,-35.32413619, 12.81084016,-22.51329603
      561000,5609.99987461,-33.99756998, 11.53653840,-22.46103158
      562000,5619.99987438,-36.32188437, 13.82831591,-22.49356846
      563000,5629.99987416,-33.18426629, 10.71447628,-22.46979000
      564000,5639.99987394,-34.23350721, 11.75180214,-22.48170506
      565000,5649.99987371,-36.84963086, 14.36487013,-22.48476073
      566000,5659.99987349,-34.57461800, 12.10697656,-22.46764144
      567000,5669.99987327,-36.69665068, 14.21055210,-22.48609858
      568000,5679.99987304,-36.77983188, 14.28601836,-22.49381352
      569000,5689.99987282,-35.51911337, 13.05672116,-22.46239221
      570000,5699.99987260,-35.78924357, 13.30749849,-22.48174508
      571000,5709.99987237,-34.61782588, 12.18396843,-22.43385745
      572000,5719.99987215,-36.49507872, 14.04112922,-22.45394950
      573000,5729.99987192,-35.27659244, 12.83190920,-22.44468323
      574000,5739.99987170,-35.67018067, 13.22761225,-22.44256842
      575000,5749.99987148,-34.40239488, 11.94584060,-22.45655427
      576000,5759.99987125,-35.43109644, 12.97299367,-22.45810277
      577000,5769.99987103,-37.47414939, 14.99445798,-22.47969141
      578000,5779.99987081,-39.11065632, 16.64031368,-22.47034263
      579000,5789.99987058,-35.70959789, 13.24153414,-22.46806375
      580000,5799.99987036,-31.55591574,  9.13620988,-22.41970586
      581000,5809.99987014,-35.54958215, 13.10559477,-22.44398738
      582000,5819.99986991,-36.84721361, 14.36433580,-22.48287782
      583000,5829.99986969,-37.11613521, 14.63544030,-22.48069491
      584000,5839.99986947,-36.45187387, 13.98290923,-22.46896464
      585000,5849.99986924,-36.44885518, 13.98660934,-22.46224585
      586000,5859.99986902,-34.20002807, 11.74783744,-22.45219063
      587000,5869.99986880,-35.38621287, 12.92478848,-22.46142438
      588000,5879.99986857,-34.71165479, 12.27891688,-22.43273790
      589000,5889.99986835,-34.18993166, 11.72271614,-22.46721552
      590000,5899.99986812,-35.74783014, 13.27393537,-22.47389477
      591000,5909.99986790,-38.46174252, 16.00277321,-22.45896931
      592000,5919.99986768,-36.68246013, 14.22168691,-22.46077322
      593000,5929.99986745,-33.82038467, 11.37728096,-22.44310372
      594000,5939.99986723,-38.97219539, 16.52852562,-22.44366976
      595000,5949.99986701,-35.09762009, 12.65410577,-22.44351432
      596000,5959.99986678,-33.43849652, 11.00089492,-22.43760159
      597000,5969.99986656,-36.72648230, 14.28909517,-22.43738713
      598000,5979.99986634,-36.16119781, 13.72546828,-22.43572953
      599000,5989.99986611,-33.54666542, 11.11322929,-22.43343613
      600000,5999.99986589,-38.00389597, 15.55586186,-22.44803412
      601000,6009.99986567,-33.65253496, 11.20654926,-22.44598569
      602000,6019.99986544,-33.89454317, 11.41016219,-22.48438098
      603000,6029.99986522,-36.49947869, 14.04510234,-22.45437635
      604000,6039.99986500,-33.27586800, 10.79209020,-22.48377780
      605000,6049.99986477,-37.72147118, 15.26671508,-22.45475610
      606000,6059.99986455,-34.06909117, 11.61542181,-22.45366936
      607000,6069.99986432,-37.16965114, 14.71032774,-22.45932340
      608000,6079.99986410,-35.88202345, 13.43134227,-22.45068117
      609000,6089.99986388,-35.62670190, 13.18609541,-22.44060648
      610000,6099.99986365,-35.84823526, 13.38605953,-22.46217573
      611000,6109.99986343,-38.48695370, 16.03466330,-22.45229040
      612000,6119.99986321,-37.67280559, 15.23543019,-22.43737540
      613000,6129.99986298,-33.66928477, 11.22561085,-22.44367392
      614000,6139.99986276,-35.98142497, 13.53269957,-22.44872540
      615000,6149.99986254,-34.10668092, 11.68863154,-22.41804938
      616000,6159.99986231,-34.62449605, 12.17889111,-22.44560494
      617000,6169.99986209,-38.33503469, 15.89980858,-22.43522611
      618000,6179.99986187,-34.44779703, 12.02423838,-22.42355865
      619000,6189.99986164,-36.15807431, 13.72040001,-22.43767429
      620000,6199.99986142,-34.56724273, 12.13116316,-22.43607957
      621000,6209.99986120,-35.06506213, 12.63727736,-22.42778476
      622000,6219.99986097,-36.50161794, 14.07543182,-22.42618612
      623000,6229.99986075,-37.78596935, 15.34273090,-22.44323845
      624000,6239.99986053,-36.70129474, 14.26325839,-22.43803635
      625000,6249.99986030,-35.91496572, 13.48358832,-22.43137740
      626000,6259.99986008,-36.93157317, 14.49436182,-22.43721136
      627000,6269.99985985,-32.48003541, 10.04218902,-22.43784639
      628000,6279.99985963,-33.20118489, 10.76934934,-22.43183555
      629000,6289.99985941,-38.57007350, 16.11360388,-22.45646962
      630000,6299.99985918,-33.40047238, 10.94904489,-22.45142750
      631000,6309.99985896,-37.03004168, 14.58171684,-22.44832484
      632000,6319.99985874,-35.17573209, 12.71818020,-22.45755189
      633000,6329.99985851,-38.46642676, 16.00541094,-22.46101582
      634000,6339.99985829,-37.85735158, 15.39469194,-22.46265964
      635000,6349.99985807,-37.94426168, 15.47566776,-22.46859393
      636000,6359.99985784,-36.22255349, 13.74977740,-22.47277609
      637000,6369.99985762,-35.49058016, 13.03532193,-22.45525823
      638000,6379.99985740,-32.87667073, 10.40649584,-22.47017490
      639000,6389.99985717,-35.62133548, 13.14368182,-22.47765366
      640000,6399.99985695,-36.46637498, 13.99197033,-22.47440465
      641000,6409.99985673,-38.59140436, 16.10973513,-22.48166923
      642000,6419.99985650,-34.04174646, 11.56970943,-22.47203703
      643000,6429.99985628,-35.62910941, 13.15397596,-22.47513345
      644000,6439.99985605,-41.44588834, 18.96321655,-22.48267179
      645000,6449.99985583,-36.97897901, 14.49257011,-22.48640891
      646000,6459.99985561,-36.61568929, 14.13372888,-22.48196040
      647000,6469.99985538,-38.64480588, 16.16071750,-22.48408838
      648000,6479.99985516,-34.32881116, 11.86617038,-22.46264077
      649000,6489.99985494,-34.72726140, 12.21444220,-22.51281920
      650000,6499.99985471,-35.89871750, 13.41504593,-22.48367158
      651000,6509.99985449,-36.12590209, 13.61540270,-22.51049939
      652000,6519.99985427,-35.21306348, 12.71687329,-22.49619019
      653000,6529.99985404,-33.52992165, 11.05166835,-22.47825330
      654000,6539.99985382,-34.95178018, 12.46542150,-22.48635868
      655000,6549.99985360,-35.44201865, 12.94342061,-22.49859803
      656000,6559.99985337,-33.09138974, 10.59278867,-22.49860107
      657000,6569.99985315,-34.86886288, 12.38129880,-22.48756408
      658000,6579.99985293,-36.86212537, 14.32697402,-22.53515135
      659000,6589.99985270,-37.04655525, 14.54008777,-22.50646749
      660000,6599.99985248,-37.46683598, 14.94691951,-22.51991647
      661000,6609.99985225,-36.27058596, 13.76930639,-22.50127958
      662000,6619.99985203,-36.46776132, 13.93353256,-22.53422876
      663000,6629.99985181,-31.13488220,  8.64251338,-22.49236882
      664000,6639.99985158,-35.91537674, 13.42834121,-22.48703554
      665000,6649.99985136,-41.76578220, 19.25499594,-22.51078625
      666000,6659.99985114,-36.32289941, 13.83480921,-22.48809020
      667000,6669.99985091,-30.91101757,  8.42945092,-22.48156664
      668000,6679.99985069,-37.61812654, 15.12039008,-22.49773646
      669000,6689.99985047,-39.59745505, 17.09764019,-22.49981485
      670000,6699.99985024,-32.44467816,  9.95470466,-22.48997350
      671000,6709.99985002,-31.77053932,  9.30737099,-22.46316834
      672000,6719.99984980,-36.12457449, 13.61877569,-22.50579880
      673000,6729.99984957,-35.27122959, 12.77963980,-22.49158979
      674000,6739.99984935,-35.29052423, 12.80836700,-22.48215723
      675000,6749.99984913,-36.57613679, 14.09588229,-22.48025450
      676000,6759.99984890,-34.40325282, 11.92488792,-22.47836490
      677000,6769.99984868,-35.64679046, 13.15164020,-22.49515026
      678000,6779.99984846,-36.17535857, 13.68102299,-22.49433559
      679000,6789.99984823,-37.39068476, 14.88970703,-22.50097773
      680000,6799.99984801,-34.68078990, 12.19135515,-22.48943475
      681000,6809.99984778,-37.95961246, 15.46762065,-22.49199180
      682000,6819.99984756,-33.56842384, 11.05546359,-22.51296025
      683000,6829.99984734,-36.37443078, 13.86877734,-22.50565344
      684000,6839.99984711,-32.96849941, 10.46270931,-22.50579010
      685000,6849.99984689,-36.92230833, 14.45058246,-22.47172587
      686000,6859.99984667,-37.03467424, 14.54038120,-22.49429304
      687000,6869.99984644,-34.57025335, 12.07837325,-22.49188010
      688000,6879.99984622,-35.72345716, 13.25317050,-22.47028666
      689000,6889.99984600,-35.81303132, 13.33403242,-22.47899890
      690000,6899.99984577,-36.13975180, 13.66449447,-22.47525733
      691000,6909.99984555,-37.79679252, 15.31630516,-22.48048736
      692000,6919.99984533,-40.27958605, 17.78623450,-22.49335155
      693000,6929.99984510,-35.61625932, 13.13046894,-22.48579038
      694000,6939.99984488,-37.17560341, 14.68062624,-22.49497718
      695000,6949.99984466,-35.60296987, 13.12563241,-22.47733747
      696000,6959.99984443,-32.12952666,  9.65101396,-22.47851271
      697000,6969.99984421,-36.04479252, 13.55418484,-22.49060768
      698000,6979.99984398,-36.88658812, 14.39141394,-22.49517417
      699000,6989.99984376,-35.06916509, 12.58926933,-22.47989576
      700000,6999.99984354,-36.10855213, 13.61728323,-22.49126890
      701000,7009.99984331,-38.45144385, 15.96022974,-22.49121411
      702000,7019.99984309,-36.67122630, 14.17432499,-22.49690131
      703000,7029.99984287,-33.27623872, 10.77035750,-22.50588122
      704000,7039.99984264,-36.53049858, 14.03408458,-22.49641400
      705000,7049.99984242,-36.43851956, 13.95368202,-22.48483754
      706000,7059.99984220,-35.98425307, 13.49589462,-22.48835846
      707000,7069.99984197,-37.71405316, 15.20689548,-22.50715768
      708000,7079.99984175,-36.52674482, 14.01645237,-22.51029245
      709000,7089.99984153,-32.71325031, 10.21007427,-22.50317603
      710000,7099.99984130,-40.73740974, 18.21957597,-22.51783378
      711000,7109.99984108,-33.80338137, 11.29353630,-22.50984507
      712000,7119.99984086,-34.58485776, 12.04718022,-22.53767754
      713000,7129.99984063,-33.18434648, 10.67196674,-22.51237974
      714000,7139.99984041,-35.50767524, 12.99067713,-22.51699811
      715000,7149.99984019,-36.32823719, 13.84017208,-22.48806511
      716000,7159.99983996,-36.57447648, 14.06975455,-22.50472193
      717000,7169.99983974,-33.51830040, 11.03287332,-22.48542707
      718000,7179.99983951,-35.41102028, 12.93370310,-22.47731717
      719000,7189.99983929,-41.13425466, 18.63393843,-22.50031623
      720000,7199.99983907,-37.45495529, 14.95254943,-22.50240586
      721000,7209.99983884,-36.29142543, 13.80052188,-22.49090355
      722000,7219.99983862,-34.18352345, 11.70529535,-22.47822810
      723000,7229.99983840,-39.23183037, 16.71876811,-22.51306226
      724000,7239.99983817,-37.32564260, 14.82783277,-22.49780982
      725000,7249.99983795,-35.00947941, 12.50898373,-22.50049568
      726000,7259.99983773,-36.62353225, 14.11962590,-22.50390635
      727000,7269.99983750,-35.15866034, 12.65924308,-22.49941726
      728000,7279.99983728,-36.10090759, 13.60555061,-22.49535698
      729000,7289.99983706,-35.41816589, 12.90832112,-22.50984476
      730000,7299.99983683,-37.30731875, 14.81402527,-22.49329348
      731000,7309.99983661,-39.22459451, 16.72328276,-22.50131174
      732000,7319.99983639,-34.18938207, 11.69617231,-22.49320975
      733000,7329.99983616,-37.57694875, 15.08389218,-22.49305657
      734000,7339.99983594,-34.28778620, 11.80440543,-22.48338076
      735000,7349.99983571,-36.90401843, 14.41540771,-22.48861073
      736000,7359.99983549,-36.78670466, 14.29006629,-22.49663837
      737000,7369.99983527,-35.65785060, 13.17890549,-22.47894511
      738000,7379.99983504,-34.29018167, 11.81188522,-22.47829645
      739000,7389.99983482,-37.33686682, 14.85382085,-22.48304597
      740000,7399.99983460,-34.07409527, 11.60513367,-22.46896160
      741000,7409.99983437,-33.72282254, 11.25000673,-22.47281581
      742000,7419.99983415,-37.58238115, 15.08569583,-22.49668532
      743000,7429.99983393,-34.72850365, 12.23668565,-22.49181800
      744000,7439.99983370,-37.22061840, 14.71089828,-22.50972012
      745000,7449.99983348,-38.76418687, 16.25313945,-22.51104742
      746000,7459.99983326,-35.31298464, 12.81126670,-22.50171794
      747000,7469.99983303,-34.75415576, 12.27253489,-22.48162086
      748000,7479.99983281,-35.78836500, 13.27960569,-22.50875931
      749000,7489.99983259,-36.56816240, 14.05086330,-22.51729910
      750000,7499.99983236,-34.05861682, 11.55949200,-22.49912482
      751000,7509.99983214,-36.59372082, 14.09432700,-22.49939382
      752000,7519.99983191,-36.85582491, 14.34874428,-22.50708063
      753000,7529.99983169,-35.05226510, 12.53809757,-22.51416753
      754000,7539.99983147,-37.70470789, 15.18030487,-22.52440302
      755000,7549.99983124,-36.23503942, 13.75015115,-22.48488826
      756000,7559.99983102,-36.18385608, 13.67122739,-22.51262870
      757000,7569.99983080,-35.18150849, 12.68308968,-22.49841880
      758000,7579.99983057,-34.80338564, 12.26384299,-22.53954266
      759000,7589.99983035,-33.91411624, 11.40509956,-22.50901668
      760000,7599.99983013,-35.77378010, 13.26365049,-22.51012960
      761000,7609.99982990,-36.71157116, 14.20424432,-22.50732685
      762000,7619.99982968,-36.79945376, 14.29200602,-22.50744774
      763000,7629.99982946,-32.91970533, 10.41613706,-22.50356828
      764000,7639.99982923,-33.51549276, 11.00654727,-22.50894549
      765000,7649.99982901,-39.15120665, 16.63717293,-22.51403372
      766000,7659.99982879,-39.55157946, 17.03079624,-22.52078323
      767000,7669.99982856,-35.41847198, 12.90304420,-22.51542778
      768000,7679.99982834,-35.34039574, 12.83638121,-22.50401453
      769000,7689.99982812,-34.76213937, 12.27499313,-22.48714624
      770000,7699.99982789,-35.97897771, 13.43808921,-22.54088850
      771000,7709.99982767,-33.43275973, 10.92701920,-22.50574054
      772000,7719.99982744,-36.40680776, 13.89814268,-22.50866508
      773000,7729.99982722,-35.70289645, 13.19068150,-22.51221495
      774000,7739.99982700,-36.40450734, 13.88987851,-22.51462883
      775000,7749.99982677,-36.93675282, 14.41498565,-22.52176717
      776000,7759.99982655,-35.49687992, 12.98363646,-22.51324346
      777000,7769.99982633,-34.43363332, 11.91759676,-22.51603656
      778000,7779.99982610,-35.25560457, 12.74259332,-22.51301125
      779000,7789.99982588,-35.26594956, 12.74305571,-22.52289385
      780000,7799.99982566,-34.51985115, 11.99904510,-22.52080605
      781000,7809.99982543,-34.93967727, 12.41445473,-22.52522255
      782000,7819.99982521,-34.66401533, 12.14263607,-22.52137926
      783000,7829.99982499,-39.26292063, 16.74071457,-22.52220606
      784000,7839.99982476,-38.27606233, 15.74825824,-22.52780409
      785000,7849.99982454,-38.85032900, 16.30437587,-22.54595313
      786000,7859.99982432,-38.95195392, 16.43443083,-22.51752309
      787000,7869.99982409,-33.35239150, 10.82426012,-22.52813137
      788000,7879.99982387,-35.97925076, 13.48645626,-22.49279450
      789000,7889.99982364,-33.92479899, 11.42224439,-22.50255460
      790000,7899.99982342,-36.56838152, 14.06178243,-22.50659909
      791000,7909.99982320,-36.55732575, 14.06306513,-22.49426062
      792000,7919.99982297,-35.45091189, 12.95603065,-22.49488125
      793000,7929.99982275,-34.12264584, 11.59336481,-22.52928102
      794000,7939.99982253,-34.77793568, 12.27372693,-22.50420875
      795000,7949.99982230,-32.23806575,  9.74353508,-22.49453067
      796000,7959.99982208,-36.87149634, 14.35164889,-22.51984745
      797000,7969.99982186,-38.36472707, 15.85145242,-22.51327465
      798000,7979.99982163,-33.17943234, 10.66209362,-22.51733872
      799000,7989.99982141,-36.38203474, 13.87760950,-22.50442524
      800000,7999.99982119,-37.28503634, 14.77331448,-22.51172187
      801000,8009.99982096,-35.25485441, 12.73851145,-22.51634296
      802000,8019.99982074,-37.62751996, 15.11779319,-22.50972677
      803000,8029.99982052,-36.70261157, 14.20211186,-22.50049971
      804000,8039.99982029,-35.66729740, 13.16027169,-22.50702572
      805000,8049.99982007,-38.36437710, 15.84262276,-22.52175433
      806000,8059.99981984,-32.75355192, 10.24433535,-22.50921657
      807000,8069.99981962,-36.32511216, 13.80565701,-22.51945516
      808000,8079.99981940,-35.26565994, 12.74747393,-22.51818600
      809000,8089.99981917,-40.79386592, 18.25912416,-22.53474175
      810000,8099.99981895,-39.38257523, 16.85380101,-22.52877422
      811000,8109.99981873,-37.43632014, 14.92659407,-22.50972607
      812000,8119.99981850,-32.75988939, 10.24229056,-22.51759883
      813000,8129.99981828,-35.00078407, 12.47252641,-22.52825766
      814000,8139.99981806,-37.04612648, 14.52131925,-22.52480723
      815000,8149.99981783,-37.81192125, 15.28655658,-22.52536467
      816000,8159.99981761,-38.00221385, 15.47311257,-22.52910127
      817000,8169.99981739,-36.47036045, 13.94719815,-22.52316229
      818000,8179.99981716,-35.37145656, 12.87809323,-22.49336334
      819000,8189.99981694,-37.90170756, 15.37816883,-22.52353873
      820000,8199.99981672,-35.14124761, 12.62562946,-22.51561815
      821000,8209.99981649,-33.63454037, 11.12778209,-22.50675828
      822000,8219.99981627,-35.92030141, 13.39964636,-22.52065506
      823000,8229.99981605,-35.15124502, 12.63017089,-22.52107414
      824000,8239.99981582,-34.45477862, 11.94211519,-22.51266343
      825000,8249.99981560,-41.08045594, 18.56743569,-22.51302025
      826000,8259.99981537,-32.89578846, 10.38138250,-22.51440596
      827000,8269.99981515,-34.88965784, 12.36521827,-22.52443957
      828000,8279.99981493,-34.92455680, 12.39349010,-22.53106669
      829000,8289.99981470,-34.23780256, 11.72815547,-22.50964709
      830000,8299.99981448,-37.50942101, 14.97089812,-22.53852289
      831000,8309.99981426,-36.81107484, 14.29730079,-22.51377406
      832000,8319.99981403,-32.47826054,  9.96100837,-22.51725217
      833000,8329.99981381,-36.00247361, 13.48598732,-22.51648630
      834000,8339.99981359,-33.77129941, 11.25196295,-22.51933646
      835000,8349.99981336,-35.03193608, 12.51042979,-22.52150628
      836000,8359.99981314,-35.53433242, 13.00983228,-22.52450014
      837000,8369.99981292,-36.09966580, 13.56665927,-22.53300653
      838000,8379.99981269,-35.33849280, 12.81360220,-22.52489060
      839000,8389.99981247,-34.24649923, 11.71712994,-22.52936930
      840000,8399.99981225,-34.97681747, 12.45085551,-22.52596196
      841000,8409.99981202,-33.56527807, 11.03720263,-22.52807543
      842000,8419.99981180,-34.30925189, 11.78091567,-22.52833622
      843000,8429.99981157,-36.14156254, 13.60877339,-22.53278915
      844000,8439.99981135,-33.58306792, 11.03966296,-22.54340497
      845000,8449.99981113,-37.35201535, 14.80922736,-22.54278799
      846000,8459.99981090,-35.63357751, 13.10651897,-22.52705854
      847000,8469.99981068,-36.05083139, 13.52088469,-22.52994670
      848000,8479.99981046,-31.52051586,  8.99176726,-22.52874860
      849000,8489.99981023,-40.01203925, 17.46957806,-22.54246118
      850000,8499.99981001,-33.55620492, 11.01177622,-22.54442870
      851000,8509.99980979,-32.32377359,  9.78517778,-22.53859581
      852000,8519.99980956,-40.92748255, 18.36094889,-22.56653366
      853000,8529.99980934,-34.00005829, 11.45810358,-22.54195471
      854000,8539.99980912,-34.67048980, 12.11871115,-22.55177864
      855000,8549.99980889,-37.95445243, 15.38216158,-22.57229085
      856000,8559.99980867,-35.40445251, 12.85412127,-22.55033125
      857000,8569.99980845,-38.35824077, 15.81028798,-22.54795279
      858000,8579.99980822,-36.19500868, 13.64625977,-22.54874891
      859000,8589.99980800,-34.29415903, 11.75182601,-22.54233302
      860000,8599.99980778,-36.46117050, 13.88756978,-22.57360072
      861000,8609.99980755,-34.18221315, 11.61705747,-22.56515569
      862000,8619.99980733,-34.20305740, 11.63575320,-22.56730420
      863000,8629.99980710,-34.65797109, 12.07885912,-22.57911197
      864000,8639.99980688,-35.35714904, 12.78081665,-22.57633238
      865000,8649.99980666,-34.72034529, 12.15419620,-22.56614909
      866000,8659.99980643,-36.31336791, 13.72142691,-22.59194099
      867000,8669.99980621,-38.37452672, 15.78618050,-22.58834622
      868000,8679.99980599,-33.76307256, 11.19846611,-22.56460645
      869000,8689.99980576,-34.71926361, 12.16036442,-22.55889919
      870000,8699.99980554,-35.52119098, 12.95926896,-22.56192203
      871000,8709.99980532,-40.12202434, 17.54254102,-22.57948332
      872000,8719.99980509,-33.75658936, 11.18792421,-22.56866515
      873000,8729.99980487,-33.61413004, 11.05252114,-22.56160890
